sim_time,super_dense_time,controller.moveDiscreteCommand,controller.MovementArgs_target_X,controller.MovementArgs_target_Y,controller.MovementArgs_target_Z,dmodel.movediscrete,mapping.q0,mapping.q1,mapping.q2,mapping.q3,mapping.q4,mapping.q5,mapping.robotStopped,mapping.moveCompleted
36.0,1,False,3.0,20.0,2.0,True,-1.6658399818964673,-1.7418384922502161,1.648580507627977,-2.2638200253214498,-1.5037083546621863,-0.06726842397849753,True,True
36.5,1,False,3.0,20.0,2.0,True,-1.6659118686401353,-1.741606896370806,1.6485805076279787,-2.2639089108336217,-1.5038702290613672,-0.06775711690209985,True,False
37.0,1,False,3.0,20.0,2.0,True,-1.6657615803427426,-1.740437607405263,1.6485805076279751,-2.2635555296047416,-1.5037821772228392,-0.06751598790855695,False,False
37.5,1,False,3.0,20.0,2.0,True,-1.6667338126092694,-1.7419689041498865,1.6504369925304196,-2.260982843681707,-1.5010810782590136,-0.06921214623391414,False,False
38.0,1,False,3.0,20.0,2.0,True,-1.8383336681578797,-1.906393150741649,1.8248040873824891,-2.150674617007822,-1.3204073511664793,-0.25525943283154273,True,True
38.5,1,False,3.0,20.0,2.0,True,-2.1474114378624067,-2.1106733086883347,2.022881399543306,-2.131017623118564,-1.109717399698055,-0.5080733988276283,True,True
39.0,1,False,3.0,20.0,2.0,True,-2.293062293773695,-2.131289540917053,2.043560532623512,-2.131081173284749,-1.084286379761477,-0.557456389601168,True,True
39.5,1,False,3.0,20.0,2.0,True,-2.2930470663016926,-2.128194780967707,2.04356053262351,-2.1306508056185196,-1.0842437274179755,-0.5573228267160708,True,True
40.0,1,True,8.0,10.0,0.0,True,-2.293073190930188,-2.128835616348237,2.04356053262351,-2.130700670011872,-1.0843197413271044,-0.5575933813168006,True,True
40.5,1,False,8.0,10.0,0.0,True,-2.293080741410783,-2.1283263893439015,2.043560532623512,-2.130259192597463,-1.0844576096680605,-0.5579061537451437,True,True
41.0,1,False,8.0,10.0,0.0,True,-2.2929304224564646,-2.128126555449125,2.043560532623511,-2.1305351524940885,-1.084412640662367,-0.5572212248740493,False,False
41.5,1,False,8.0,10.0,0.0,True,-2.2931090149647515,-2.1283813146136517,2.043560532623512,-2.130402470973581,-1.0843845978577988,-0.5575278024481891,False,False
42.0,1,False,8.0,10.0,0.0,True,-2.3146697169587247,-2.11991878520959,2.020627887975536,-2.1516712055524296,-1.0568240232520516,-0.5745976081919579,False,False
